,[1] Accuracy,[1] Steps,[1] Time,[2] Accuracy,[2] Steps,[2] Time,[3] Accuracy,[3] Steps,[3] Time
126,7.142857142857142,14.0,12.609898090362547,7.6923076923076925,13.0,187.77612257003784,8.333333333333332,12.0,587.7398266792297
127,60.0,10.0,13.16611909866333,55.555555555555564,9.0,175.79786825180054,50.0,8.0,530.1173658370972
128,86.8421052631579,38.0,15.01725172996521,91.8918918918919,37.0,186.618971824646,91.66666666666666,36.0,527.6041207313539
129,92.72727272727272,55.0,16.408406496047974,94.44444444444444,54.0,183.26655173301697,94.33962264150944,53.0,564.9323863983153
130,95.45454545454544,22.0,14.615996837615967,95.23809523809523,21.0,178.41877961158752,90.0,20.0,553.9904296398163
131,75.67567567567569,37.0,14.386904001235962,80.55555555555556,36.0,180.29501509666443,77.14285714285717,35.0,590.7393586635591
133,96.0,25.0,13.479592561721802,91.66666666666666,24.0,181.66266465187076,100.0,23.0,547.9293258190155
134,63.63636363636363,22.0,13.674172401428224,66.66666666666666,21.0,179.56109189987183,65.0,20.0,547.1620674133302
135,24.0,50.0,15.448200225830078,59.18367346938776,49.0,181.40991425514218,64.58333333333334,48.0,559.2828235626222
136,87.5,16.0,13.273993968963625,93.33333333333331,15.0,178.47920441627502,92.85714285714286,14.0,476.8765377998352
137,65.0,40.0,14.163262844085693,71.7948717948718,39.0,194.3230903148651,78.94736842105263,38.0,479.55018520355225
138,80.0,45.0,14.255449771881105,81.81818181818183,44.0,189.02092599868772,83.72093023255816,43.0,541.9948706626892
139,95.0,40.0,14.753281354904175,92.30769230769229,39.0,186.80851817131042,97.36842105263158,38.0,583.50745677948
140,90.0,40.0,15.229042768478394,89.74358974358975,39.0,186.72466373443604,94.73684210526315,38.0,593.4541997909546
141,85.71428571428571,42.0,14.998748779296875,80.4878048780488,41.0,187.5323724746704,82.5,40.0,534.6692328453064
142,69.23076923076923,39.0,14.726022243499756,84.21052631578947,38.0,185.17556405067444,81.08108108108108,37.0,580.1785297393799
143,90.9090909090909,11.0,14.322770595550535,90.0,10.0,184.0135726928711,88.8888888888889,9.0,574.5420887470245
144,75.51020408163265,49.0,15.63475513458252,91.66666666666666,48.0,188.03108882904053,89.36170212765957,47.0,544.5860512256621
145,65.21739130434783,46.0,15.42523980140686,73.33333333333333,45.0,194.4346046447754,77.27272727272727,44.0,467.1187293529511
146,85.71428571428571,28.0,14.675600290298462,88.8888888888889,27.0,187.22561717033386,92.30769230769229,26.0,472.4168071746826
147,66.66666666666666,63.0,16.686226844787598,66.12903225806451,62.0,199.15196466445926,67.21311475409836,61.0,573.9162595272063
149,95.45454545454544,44.0,15.935820579528807,97.67441860465117,43.0,186.29960322380063,97.61904761904762,42.0,577.0410633087157
150,59.18367346938776,49.0,15.892158031463625,68.75,48.0,195.73886036872864,70.21276595744679,47.0,586.8445088863373
151,75.08417508417509,297.0,31.943796873092648,77.70270270270271,296.0,261.11487030982966,77.96610169491525,295.0,708.4021968841553
152,55.555555555555564,18.0,14.428182363510132,58.82352941176471,17.0,196.98010730743408,81.25,16.0,469.3187801837921
153,41.17647058823529,17.0,16.399904012680054,87.5,16.0,186.99215364456177,66.66666666666666,15.0,519.8491940498352
154,70.0,20.0,16.12293004989624,73.68421052631578,19.0,179.5598692893982,61.111111111111114,18.0,525.6705520153047
155,44.444444444444436,18.0,15.763014554977415,64.70588235294117,17.0,181.9019455909729,81.25,16.0,489.7387993335724
156,66.66666666666666,9.0,15.275490999221802,75.0,8.0,178.69063901901245,57.14285714285714,7.0,480.8303861618042
157,61.016949152542374,118.0,21.833266019821167,59.82905982905983,117.0,204.24277925491333,66.3793103448276,116.0,511.64925384521484
158,50.83333333333333,120.0,22.53516530990601,57.14285714285714,119.0,207.695387840271,58.474576271186436,118.0,584.3585617542268
159,88.8888888888889,27.0,16.52216410636902,88.46153846153845,26.0,187.45944809913638,88.0,25.0,577.5199077129364
160,7.142857142857142,14.0,15.287394046783447,0.0,13.0,186.3393280506134,25.0,12.0,535.4827709197998
161,87.1794871794872,39.0,17.5276997089386,89.47368421052632,38.0,187.158789396286,91.8918918918919,37.0,519.6193509101869
162,75.0,48.0,17.691928386688236,78.72340425531915,47.0,198.07605123519897,82.6086956521739,46.0,499.89315128326416
163,87.1794871794872,39.0,17.87838363647461,92.10526315789473,38.0,190.75153756141663,94.5945945945946,37.0,483.6462197303772
164,39.130434782608695,46.0,17.750333547592163,46.66666666666666,45.0,196.43889474868772,43.18181818181818,44.0,538.0645689964293
165,87.5,40.0,17.733478307724,89.74358974358975,39.0,194.0685338973999,89.47368421052632,38.0,530.4776790142058
166,73.68421052631578,38.0,18.34135890007019,72.97297297297297,37.0,195.7610673904419,77.7777777777778,36.0,493.901823759079
167,50.0,10.0,15.618062734603882,33.33333333333333,9.0,189.06248235702515,12.5,8.0,481.73364686965937
168,83.33333333333334,54.0,19.44426989555359,83.01886792452831,53.0,200.6936323642731,88.46153846153845,52.0,644.3193912506104
169,72.2222222222222,18.0,16.509645700454712,76.47058823529412,17.0,186.45662689208984,81.25,16.0,629.7854588031769
170,68.0,25.0,16.92647385597229,62.5,24.0,188.98700213432312,69.56521739130434,23.0,632.4379730224608
171,58.82352941176471,17.0,17.733892679214478,75.0,16.0,184.23905634880063,60.0,15.0,638.7200479507446
172,66.66666666666666,24.0,17.410877704620358,73.91304347826086,23.0,190.6551432609558,86.36363636363636,22.0,644.5693254470825
173,43.18181818181818,44.0,18.947084903717037,44.1860465116279,43.0,200.3623185157776,45.23809523809525,42.0,578.1711444854736
174,82.92682926829268,41.0,18.982169628143307,82.5,40.0,191.67114901542664,82.05128205128204,39.0,582.3269464969635
175,64.38356164383562,73.0,22.64436817169189,72.2222222222222,72.0,197.95470452308655,74.64788732394365,71.0,584.8377921581267
176,88.8888888888889,18.0,17.532682180404663,94.11764705882351,17.0,188.89360427856445,93.75,16.0,615.6346366405488
177,45.94594594594595,74.0,22.560875177383426,56.164383561643845,73.0,196.66843032836914,58.33333333333334,72.0,673.3011047840117
